site,total_feed_weight,total_biomass_variation,avg_feed_per_open_biomass,avg_biomass_growth_rate,avg_mortality_percent,avg_temperature,avg_density,total_records
Site_042,2430.00,14638.73,0.030048,0.031377,0.0720,10.41,0.16,42
Site_011,2400.00,2472.77,0.049073,0.050487,0.1272,13.83,0.21,10
Site_061,1250.00,0.00,0.074801,-0.018278,0.7924,12.71,0.19,12
Site_099,1250.00,0.00,0.010736,-0.091521,10.1932,11.07,0.43,11
Site_058,1115.00,-334.05,0.004171,-0.001067,0.5702,1.00,1.53,13
Site_019,899.00,899.29,0.014963,0.014960,0.1020,12.28,0.47,13
Site_057,890.00,2460.58,0.064666,0.062672,0.6263,10.65,0.24,8
Site_071,325.00,-2854.71,0.011153,-0.092789,10.2291,1.00,0.12,10
Site_023,275.00,-7054.30,0.038983,-1.000000,100.0000,11.83,0.75,1
Site_014,25.00,-476.26,0.052493,-1.000000,100.0000,11.65,0.04,1
